0 137904 0 10816 2601
1 270400 127449 24336 10404
2 397488 249696 43264 23409
3 519168 366741 67600 41616
4 635440 478584 97344 65025
5 746304 585225 132496 93636
6 851760 686664 173056 127449
7 951808 782901 219024 166464
8 1046448 873936 270400 210681
9 1135680 959769 327184 260100
10 1219504 1040400 389376 314721
11 1297920 1115829 456976 374544
12 1370928 1186056 529984 439569
13 1438528 1251081 608400 509796
14 1500720 1310904 692224 585225
15 1557504 1365525 781456 665856
16 1608880 1414944 876096 751689
17 1654848 1459161 976144 842724
18 1695408 1498176 1081600 938961
19 1730560 1531989 1192464 1040400
20 1760304 1560600 1308736 1147041
21 1784640 1584009 1430416 1258884
22 1803568 1602216 1557504 1375929
23 1817088 1615221 1690000 1498176
24 1825200 1623024 1827904 1625625
25 1827904 1625625 1971216 1758276
26 1825200 1623024 1827904 1625625
27 1817088 1615221 1690000 1498176
28 1803568 1602216 1557504 1375929
29 1784640 1584009 1430416 1258884
30 1760304 1560600 1308736 1147041
31 1730560 1531989 1192464 1040400
32 1695408 1498176 1081600 938961
33 1654848 1459161 976144 842724
34 1608880 1414944 876096 751689
35 1557504 1365525 781456 665856
36 1500720 1310904 692224 585225
37 1438528 1251081 608400 509796
38 1370928 1186056 529984 439569
39 1297920 1115829 456976 374544
40 1219504 1040400 389376 314721
41 1135680 959769 327184 260100
42 1046448 873936 270400 210681
43 951808 782901 219024 166464
44 851760 686664 173056 127449
45 746304 585225 132496 93636
46 635440 478584 97344 65025
47 519168 366741 67600 41616
48 397488 249696 43264 23409
49 270400 127449 24336 10404
50 137904 0 10816 2601
